año;mes;nacion;1 estrella;2 estrellas;3 estrellas;4 estrellas;5 estrellas;hoteleros;extrahoteleros;total
2016;3;Italia;245;451;2819;5284;1021;9820;3061;12881
2016;3;Suecia;34;666;1961;7819;1366;11846;10587;22433
2016;3;Noruega;14;483;1222;2714;550;4983;5864;10847
2016;3;Dinamarca;30;661;2148;4476;411;7726;7174;14900
2016;3;Finlandia;32;300;1791;3639;490;6252;9050;15302
2016;3;Suiza;58;156;487;1861;1127;3689;670;4359
2016;3;Austria;36;95;348;1329;495;2303;580;2883
2016;3;Rusia;84;127;729;1481;589;3010;2020;5030
2016;3;Países del Este;119;195;1353;4927;690;7284;3319;10603
2016;3;Resto de Europa;153;350;2379;4408;594;7884;4116;12000
2016;3;Estados Unidos;30;48;173;399;325;975;304;1279
2016;3;Resto de América;71;79;525;251;208;1134;324;1458
2016;3;Resto del Mundo;119;158;410;1580;747;3014;1029;4043
2016;3;TOTAL;6158;14624;62588;192656;51667;327693;154929;482622
2016;4;España;1908;5325;16792;40391;7817;72233;24701;96934
2016;4;Holanda;59;273;2293;8743;1480;12848;7142;19990
2016;4;Bélgica;65;221;869;7512;2095;10762;1947;12709
2016;4;Alemania;281;813;8908;27672;4733;42407;10440;52847
2016;4;Francia;416;854;2582;12582;1943;18377;6169;24546
2016;4;Gran Bretaña;1378;2085;21226;58169;23034;105892;63939;169831
2016;4;Irlanda;22;96;1266;2286;790;4460;2959;7419
2016;4;Italia;194;422;2910;4687;789;9002;3699;12701
2016;4;Suecia;6;285;1060;3030;860;5241;4417;9658
2016;4;Noruega;12;170;335;969;336;1822;2025;3847
2016;4;Dinamarca;8;225;1182;1901;215;3531;3019;6550
2016;4;Finlandia;40;235;701;1314;234;2524;3027;5551
2016;4;Suiza;49;147;629;2133;1485;4443;986;5429
2016;4;Austria;18;88;238;1204;454;2002;436;2438
2016;4;Rusia;74;211;1341;2531;1025;5182;3578;8760
2016;4;Países del Este;86;256;1271;4376;688;6677;4643;11320
2016;4;Resto de Europa;90;358;2962;4335;442;8187;4016;12203
2016;4;Estados Unidos;17;55;189;461;510;1232;333;1565
2016;4;Resto de América;46;145;566;428;132;1317;438;1755
2016;4;Resto del Mundo;53;165;354;1410;782;2764;829;3593
2016;4;TOTAL;4822;12429;67674;186134;49844;320903;148743;469646
2016;5;España;2061;6029;21513;49409;9701;88713;30078;118791
2016;5;Holanda;36;189;1720;5912;763;8620;4611;13231
2016;5;Bélgica;40;104;808;6340;1612;8904;2068;10972
2016;5;Alemania;271;653;8006;27208;4876;41014;10278;51292
2016;5;Francia;297;499;1157;6373;1095;9421;3208;12629
2016;5;Gran Bretaña;1174;2155;22104;63938;19369;108740;65058;173798
2016;5;Irlanda;16;130;1365;2294;781;4586;3398;7984
2016;5;Italia;181;367;1879;5264;724;8415;3689;12104
2016;5;Suecia;9;19;54;202;102;386;329;715
2016;5;Noruega;6;71;64;119;93;353;233;586
2016;5;Dinamarca;3;165;106;667;66;1007;693;1700
2016;5;Finlandia;5;28;66;271;57;427;326;753
2016;5;Suiza;31;155;362;1663;1055;3266;714;3980
2016;5;Austria;11;36;164;862;304;1377;294;1671
2016;5;Rusia;49;203;1549;2872;940;5613;3391;9004
2016;5;Países del Este;83;231;1021;5198;600;7133;3949;11082
2016;5;Resto de Europa;93;329;2325;4292;524;7563;4039;11602
2016;5;Estados Unidos;22;68;121;307;421;939;332;1271
2016;5;Resto de América;40;166;694;342;176;1418;436;1854
2016;5;Resto del Mundo;44;137;468;1430;956;3035;1261;4296
2016;5;TOTAL;4472;11734;65546;184963;44215;310930;138385;449315
2016;6;España;2011;6109;18239;51403;10049;87811;32727;120538
2016;6;Holanda;15;119;1324;5212;572;7242;3641;10883
2016;6;Bélgica;44;134;579;6305;1389;8451;1771;10222
2016;6;Alemania;175;438;8310;26586;3663;39172;9682;48854
2016;6;Francia;154;349;917;5168;722;7310;2710;10020
2016;6;Gran Bretaña;973;2522;21765;62070;18277;105607;70650;176257
2016;6;Irlanda;1;120;1500;2472;728;4821;4840;9661
2016;6;Italia;111;403;2520;3933;607;7574;3524;11098
2016;6;Suecia;11;37;169;468;116;801;541;1342
2016;6;Noruega;2;120;151;489;86;848;618;1466
2016;6;Dinamarca;1;178;135;551;70;935;571;1506
2016;6;Finlandia;3;31;78;78;25;215;139;354
2016;6;Suiza;26;93;371;1460;890;2840;477;3317
2016;6;Austria;2;30;201;1071;323;1627;339;1966
2016;6;Rusia;67;199;1508;2497;1744;6015;3640;9655
2016;6;Países del Este;51;278;1313;6635;782;9059;4216;13275
2016;6;Resto de Europa;79;286;2681;5304;937;9287;4230;13517
2016;6;Estados Unidos;23;68;166;310;569;1136;345;1481
2016;6;Resto de América;56;147;485;378;318;1384;484;1868
2016;6;Resto del Mundo;76;134;402;1508;1300;3420;1348;4768
2016;6;TOTAL;3881;11795;62814;183898;43167;305555;146493;452048
2016;7;España;2521;6265;20705;54268;12163;95922;41076;136998
2016;7;Holanda;36;167;2355;7853;811;11222;6885;18107
2016;7;Bélgica;40;232;1366;9466;2156;13260;2942;16202
2016;7;Alemania;163;527;8714;26352;3135;38891;11291;50182
2016;7;Francia;226;384;2137;6766;1184;10697;4755;15452
2016;7;Gran Bretaña;1371;2438;22642;68814;21848;117113;80548;197661
2016;7;Irlanda;0;209;1454;2318;838;4819;5420;10239
2016;7;Italia;155;311;2707;3995;556;7724;4035;11759
2016;7;Suecia;3;61;134;446;155;799;502;1301
2016;7;Noruega;9;232;129;756;104;1230;945;2175
2016;7;Dinamarca;3;293;252;767;99;1414;1352;2766
2016;7;Finlandia;4;10;24;69;36;143;109;252
