CODMUN;MUNICIPIO;PERIODO_2017;PERIODO_2016;PERIODO_2015;PERIODO_2014;PERIODO_2013;PERIODO_2012;PERIODO_2011;PERIODO_2010;PERIODO_2009;PERIODO_2008;PERIODO_2007;PERIODO_2006;PERIODO_2005;PERIODO_2004;PERIODO_2003;PERIODO_2002;PERIODO_2001;PERIODO_2000
38002;  Agulo;50,2;49,9;50;50,2;50;49,6;49,3;49,1;48,6;48,5;48,3;47,2;46,9;46,5;46,3;45,7;44,7;44,3
38003;  Alajeró;44,3;43,8;43,1;42,5;42,4;41,9;41,7;41,1;41;40,8;40,7;39,8;39,8;39,8;39,1;39,8;39,2;39,2
38021;  Hermigua;48,5;47,9;47,7;47,4;47;46,8;46,4;46,1;45,6;45,6;45,2;45,3;44,9;44,5;44,1;43,8;43,4;42,9
38036;  San Sebastián de La Gomera;42,2;41,9;41,8;41,3;41;40,5;40;39,4;39;38,8;38,4;37,9;37,5;36,9;37,4;36,9;36;36,2
38049;  Valle Gran Rey;46;45,4;45,1;44,9;44,3;44,4;43,9;43,4;42,7;42;41,7;41,5;41,4;40,9;40,9;40,8;40,3;40,2
38050;  Vallehermoso;51,2;51,4;51,1;50,8;50,2;49,6;49,3;49,1;48,9;48,4;48,3;48,2;47,6;46,6;46,2;45,8;45,9;45,2
38007;  Barlovento;48,9;48,9;48,3;48,1;47,8;47,8;47,5;47;46,2;45,8;45,5;45,1;44,4;44,8;44,4;44,3;44,2;43,9
38008;  Breña Alta;42,5;42,1;41,7;41,1;40,8;40,6;40,1;39,5;39,1;38,9;38,5;38,1;37,9;37,6;37,8;37,8;38;38,2
38009;  Breña Baja;41,5;41,2;40,9;40,7;40,4;39,6;39,6;39,3;39;38,7;38,8;38,9;38,6;38,5;38,3;37,9;38,3;38,3
38014;  Fuencaliente;45,8;45,8;46;45,7;45,4;45;44,2;44,3;43,6;43,3;43,1;43,2;42,9;42,7;42,4;42,6;41,9;41,3
38016;  Garafía;50,6;50,7;51,2;51;50,6;50,3;49,9;49,4;48,4;47,7;47,7;47,5;46,9;46,6;46,1;45,6;45,2;44,4
38024;  Llanos de Aridane (Los);42,5;42,3;42,1;41,8;41,7;41,2;40,9;40,8;40,4;40;39,7;39,5;39;38,6;38,3;38,1;37,8;37,6
38027;  Paso (El);43,7;43,3;43,1;42,9;42,9;42,7;42,3;42,3;41,9;41,5;41,3;41,2;40,7;40,5;40,8;40,6;40,6;39,9
38029;  Puntagorda;44,7;44;43,5;43,4;42,8;42,7;43,7;43,5;43,1;43,4;42,5;42,5;43,1;43,1;42,1;41,6;41,5;41,1
38030;  Puntallana;46,1;45,7;45,5;45;44,9;44,9;44,8;44,4;43,7;43,5;43,3;43,7;42,7;42,8;42,2;42,7;43;43,3
38033;  San Andrés y Sauces;48,9;48,3;47,9;47,6;47,2;46,5;46,1;46;45,6;44,9;44,6;44,2;43,8;43,7;43,1;42,4;42;41,5
38037;  Santa Cruz de La Palma;44,7;44,3;44;43,5;43;42,6;42,2;41,8;41,3;40,8;40,3;39,9;39,7;39,2;38,7;38,4;38,1;37,7
38045;  Tazacorte;45,1;44,8;44,6;44,6;44,8;44,4;44,9;44,2;43,5;43,2;42,6;42,8;42,2;41,9;41,8;42;41,9;41,1
38047;  Tijarafe;46,8;47;46,7;46;46;45,6;45,1;45;44,6;43,8;43,3;43,1;42,7;42,3;41,9;41,3;41,2;41,1
38053;  Villa de Mazo;44,2;43,8;43,8;43,5;43,7;44;43,8;43,8;43,6;43;42,6;42,2;43;42;41,7;41,5;41,4;41
38013;  Frontera;44,3;44;43,8;43,6;43,6;43;42,7;42,4;42,3;42,2;42,6;42,4;42,1;42;41,8;41,8;42;41,8
38048;  Valverde;44,9;44,6;44,3;44,1;43,8;43,4;43,1;42,6;42,2;42,2;41,8;41,3;41,2;40,8;40,8;40,4;40,7;41
38901;  Pinar de El Hierro (El);47,6;47,2;46,7;46,7;46,6;46,6;46,7;45,8;44,5;44,3;33,8;35,2;40;30,2;44,3;39,2;40;41,9
